date,diario_existe,paginas,documentos
09/02/2007,sim,24,24
10/02/2007,sim,16,16
11/02/2007,nao,0,0
12/02/2007,nao,0,0
13/02/2007,sim,32,32
14/02/2007,sim,36,36
15/02/2007,sim,32,32
16/02/2007,sim,20,20
17/02/2007,sim,24,24
18/02/2007,nao,0,0
19/02/2007,nao,0,0
20/02/2007,nao,0,0
21/02/2007,nao,0,0
22/02/2007,sim,24,24
23/02/2007,sim,40,40
24/02/2007,sim,20,20
25/02/2007,nao,0,0
26/02/2007,nao,0,0
27/02/2007,sim,20,20
28/02/2007,sim,40,40
01/03/2007,sim,48,48
02/03/2007,sim,28,28
03/03/2007,sim,28,28
04/03/2007,nao,0,0
05/03/2007,nao,0,0
06/03/2007,sim,24,24
07/03/2007,sim,48,48
08/03/2007,sim,40,40
09/03/2007,sim,36,36
10/03/2007,sim,32,32
11/03/2007,nao,0,0
12/03/2007,nao,0,0
13/03/2007,sim,28,28
14/03/2007,sim,44,44
15/03/2007,sim,40,40
16/03/2007,sim,36,36
17/03/2007,sim,28,28
18/03/2007,nao,0,0
19/03/2007,nao,0,0
20/03/2007,sim,24,24
21/03/2007,sim,28,28
22/03/2007,sim,44,44
23/03/2007,sim,28,28
24/03/2007,sim,24,24
25/03/2007,nao,0,0
26/03/2007,nao,0,0
27/03/2007,sim,32,32
28/03/2007,sim,40,40
29/03/2007,sim,40,40
30/03/2007,sim,28,28
31/03/2007,sim,24,24
01/04/2007,nao,0,0
02/04/2007,nao,0,0
03/04/2007,sim,32,32
04/04/2007,sim,32,32
05/04/2007,sim,24,24
06/04/2007,sim,12,12
07/04/2007,nao,0,0
08/04/2007,nao,0,0
09/04/2007,nao,0,0
10/04/2007,sim,32,32
11/04/2007,sim,32,32
12/04/2007,sim,44,44
13/04/2007,sim,36,36
14/04/2007,sim,40,40
15/04/2007,nao,0,0
16/04/2007,nao,0,0
17/04/2007,sim,52,52
18/04/2007,sim,36,36
19/04/2007,sim,48,48
20/04/2007,sim,28,28
21/04/2007,sim,28,28
22/04/2007,nao,0,0
23/04/2007,nao,0,0
24/04/2007,sim,32,32
25/04/2007,sim,48,48
26/04/2007,sim,32,32
27/04/2007,sim,40,40
28/04/2007,sim,36,36
29/04/2007,nao,0,0
30/04/2007,nao,0,0
01/05/2007,nao,0,0
02/05/2007,nao,0,0
03/05/2007,sim,36,36
04/05/2007,sim,32,32
05/05/2007,sim,28,28
06/05/2007,nao,0,0
07/05/2007,nao,0,0
08/05/2007,sim,36,36
09/05/2007,sim,36,36
10/05/2007,sim,60,60
11/05/2007,sim,24,24
12/05/2007,sim,20,20
13/05/2007,nao,0,0
14/05/2007,nao,0,0
15/05/2007,sim,24,24
16/05/2007,sim,36,36
17/05/2007,sim,76,76
18/05/2007,sim,32,32
19/05/2007,sim,40,40
20/05/2007,nao,0,0
21/05/2007,nao,0,0
22/05/2007,sim,24,24
23/05/2007,sim,44,44
24/05/2007,sim,56,56
25/05/2007,sim,48,48
26/05/2007,sim,40,40
27/05/2007,nao,0,0
28/05/2007,nao,0,0
29/05/2007,sim,36,36
30/05/2007,sim,56,56
31/05/2007,sim,48,48
01/06/2007,sim,28,28
02/06/2007,sim,36,36
03/06/2007,nao,0,0
04/06/2007,nao,0,0
05/06/2007,sim,32,32
06/06/2007,sim,44,44
07/06/2007,sim,36,36
08/06/2007,nao,0,0
09/06/2007,nao,0,0
10/06/2007,nao,0,0
11/06/2007,nao,0,0
12/06/2007,sim,32,32
13/06/2007,sim,44,44
14/06/2007,sim,40,40
15/06/2007,sim,40,40
16/06/2007,sim,20,20
17/06/2007,nao,0,0
18/06/2007,nao,0,0
19/06/2007,sim,72,72
20/06/2007,sim,148,148
21/06/2007,sim,104,104
22/06/2007,sim,40,40
23/06/2007,sim,40,40
24/06/2007,nao,0,0
25/06/2007,nao,0,0
26/06/2007,sim,52,52
27/06/2007,sim,48,48
28/06/2007,sim,44,44
29/06/2007,sim,48,48
30/06/2007,sim,52,52
01/07/2007,nao,0,0
02/07/2007,nao,0,0
03/07/2007,sim,80,80
04/07/2007,sim,48,48
05/07/2007,sim,48,48
06/07/2007,sim,36,36
07/07/2007,sim,32,32
08/07/2007,nao,0,0
09/07/2007,nao,0,0
10/07/2007,nao,0,0
11/07/2007,sim,40,40
12/07/2007,sim,32,32
13/07/2007,sim,24,24
14/07/2007,sim,24,24
15/07/2007,nao,0,0
16/07/2007,nao,0,0
17/07/2007,sim,8,8
18/07/2007,sim,24,24
19/07/2007,sim,24,24
20/07/2007,sim,16,16
21/07/2007,sim,16,16
22/07/2007,nao,0,0
23/07/2007,nao,0,0
24/07/2007,sim,16,16
25/07/2007,sim,24,24
26/07/2007,sim,32,32
27/07/2007,sim,24,24
28/07/2007,sim,16,16
29/07/2007,nao,0,0
30/07/2007,nao,0,0
31/07/2007,sim,16,16
01/08/2007,sim,44,44
02/08/2007,sim,72,72
03/08/2007,sim,36,36
04/08/2007,sim,24,24
05/08/2007,nao,0,0
06/08/2007,nao,0,0
07/08/2007,sim,36,36
08/08/2007,sim,40,40
09/08/2007,sim,40,40
10/08/2007,sim,20,20
11/08/2007,sim,24,24
12/08/2007,nao,0,0
13/08/2007,nao,0,0
14/08/2007,sim,44,44
15/08/2007,sim,32,32
16/08/2007,sim,44,44
17/08/2007,sim,56,56
18/08/2007,sim,32,32
19/08/2007,nao,0,0
20/08/2007,nao,0,0
21/08/2007,sim,32,32
22/08/2007,sim,44,44
23/08/2007,sim,36,36
24/08/2007,sim,48,48
25/08/2007,sim,40,40
26/08/2007,nao,0,0
27/08/2007,nao,0,0
28/08/2007,sim,48,48
29/08/2007,sim,48,48
30/08/2007,sim,40,40
31/08/2007,sim,48,48
01/09/2007,sim,32,32
02/09/2007,nao,0,0
03/09/2007,nao,0,0
04/09/2007,sim,32,32
05/09/2007,sim,48,48
06/09/2007,sim,52,52
07/09/2007,sim,36,36
08/09/2007,nao,0,0
09/09/2007,nao,0,0
10/09/2007,nao,0,0
11/09/2007,sim,44,44
12/09/2007,sim,40,40
13/09/2007,sim,52,52
14/09/2007,sim,48,48
15/09/2007,sim,32,32
16/09/2007,nao,0,0
17/09/2007,nao,0,0
18/09/2007,sim,48,48
19/09/2007,sim,40,40
20/09/2007,sim,60,60
21/09/2007,sim,52,52
22/09/2007,sim,32,32
23/09/2007,nao,0,0
24/09/2007,nao,0,0
25/09/2007,sim,44,44
26/09/2007,sim,48,48
27/09/2007,sim,44,44
28/09/2007,sim,28,28
29/09/2007,sim,24,24
30/09/2007,nao,0,0
01/10/2007,nao,0,0
02/10/2007,sim,72,72
03/10/2007,sim,36,36
04/10/2007,sim,56,56
05/10/2007,sim,36,36
06/10/2007,sim,36,36
07/10/2007,nao,0,0
08/10/2007,nao,0,0
09/10/2007,sim,32,32
10/10/2007,sim,40,40
11/10/2007,sim,48,48
12/10/2007,sim,48,48
13/10/2007,nao,0,0
14/10/2007,nao,0,0
15/10/2007,nao,0,0
16/10/2007,sim,32,32
17/10/2007,sim,40,40
18/10/2007,sim,68,68
19/10/2007,sim,28,28
20/10/2007,sim,40,40
21/10/2007,nao,0,0
22/10/2007,nao,0,0
23/10/2007,sim,56,56
24/10/2007,sim,48,48
25/10/2007,sim,64,64
26/10/2007,sim,96,96
27/10/2007,sim,96,96
28/10/2007,nao,0,0
29/10/2007,nao,0,0
30/10/2007,sim,84,84
31/10/2007,sim,152,152
01/11/2007,sim,168,168
02/11/2007,sim,136,136
03/11/2007,nao,0,0
04/11/2007,nao,0,0
05/11/2007,nao,0,0
06/11/2007,sim,196,196
07/11/2007,sim,60,60
08/11/2007,sim,48,48
09/11/2007,sim,40,40
10/11/2007,sim,36,36
11/11/2007,nao,0,0
12/11/2007,nao,0,0
13/11/2007,sim,48,48
14/11/2007,sim,56,56
15/11/2007,sim,48,48
16/11/2007,nao,0,0
17/11/2007,sim,16,16
18/11/2007,nao,0,0
19/11/2007,nao,0,0
20/11/2007,sim,16,16
21/11/2007,nao,0,0
22/11/2007,sim,44,44
23/11/2007,sim,32,32
24/11/2007,sim,32,32
